StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_5_TEXT,Q2,Q3,Q3_11_TEXT,Q4,Q4_6_TEXT,Q5,Q5_6_TEXT,Q7,Q8,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11_1,Q11_2,Q11_3,Q12,Q13,Q14,Q15,Q15_10_TEXT,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q19
3/5/2025 9:39,3/5/2025 10:53,IP Address,155.206.131.197,100,4454,TRUE,3/5/2025 10:53,R_7rA8aHwVm5GHAUB,,,,,27.7728,-82.6379,anonymous,EN,Conservation biologist,,11-15 years,Florida,,Federal agency,,Doctorate,,Female,45-54,Highly beneficial,Highly beneficial,Highly beneficial,Very low,Somewhat high,Very low,Somewhat high,Somewhat high,Neutral/Unsure,Somewhat high,Very low,Very high,Very high,Very high,Yes,Increase,Stay the same,"Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on wildlife conservation genetics,Research experience in genetics,Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Neutral/Unsure,3,1,2,4,5,6,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 10:59,3/5/2025 11:10,IP Address,12.245.237.150,100,686,TRUE,3/5/2025 11:10,R_5Sffhh9ScNwhnpY,,,,,33.5226,-86.8033,anonymous,EN,Wildlife manager,,21+ years,Alabama,,State agency,,Master's Degree,,Male,55-64,Sometimes beneficial,Highly beneficial,Sometimes beneficial,Neutral/Unsure,Somewhat high,Neutral/Unsure,Very high,Somewhat low,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Neutral/Unsure,Neutral/Unsure,No,Increase,Decrease,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Online courses in genetics and management,Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics",,Neutral/Unsure,4,2,6,1,3,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 11:14,3/5/2025 11:21,IP Address,155.206.131.211,100,427,TRUE,3/5/2025 11:21,R_1EyDzxn6sgfPS8V,,,,,27.7728,-82.6379,anonymous,EN,Wildlife manager,,6-10 years,Other (please specify),North Carolina to Texas,Federal agency,,Master's Degree,,Male,45-54,Highly beneficial,Highly beneficial,Highly beneficial,Neutral/Unsure,Somewhat high,Neutral/Unsure,Very high,Somewhat high,Somewhat low,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Somewhat high,No,Increase,Unsure,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Certifications in genetics and management,Online courses in genetics and management,Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Research experience in genetics,Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop),Other (please specify):",All of the above. We need folks in all aspects of this work.  From collecting/reading samples all the way to managers able to decipher results and apply them to make informed management decisions.,Neutral/Unsure,4,3,6,1,2,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/5/2025 12:54,3/5/2025 13:03,IP Address,167.7.12.164,100,532,TRUE,3/5/2025 13:03,R_1OkOadWTpsmUh2I,,,,,32.7147,-79.9526,anonymous,EN,Wildlife manager,,21+ years,South Carolina,,State agency,,Master's Degree,,Male,55-64,Highly beneficial,Highly beneficial,Highly beneficial,Somewhat high,Somewhat high,Neutral/Unsure,Very high,Somewhat high,Neutral/Unsure,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Unsure,Increase,Increase,"Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Somewhat unfamiliar,,,,,,,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples",It can support population adaptation to change
3/5/2025 13:33,3/5/2025 13:38,IP Address,173.233.225.50,100,332,TRUE,3/5/2025 13:38,R_1zJgmfawVU7uYOW,,,,,36.1579,-86.8608,anonymous,EN,Research scientist,,21+ years,Tennessee,,Federal agency,,Doctorate,,Male,55-64,Sometimes beneficial,Sometimes beneficial,Highly beneficial,Somewhat high,Very high,Somewhat high,Very high,Somewhat high,Somewhat high,Very high,Somewhat high,Neutral/Unsure,Somewhat high,Somewhat high,No,Increase,Stay the same,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Neutral/Unsure,1,3,2,4,5,6,"Analysis of satellite imagery,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention,It decreases the likelihood of animal-human conflicts,It increases the chances of locating animals in the wild"
3/5/2025 15:12,3/5/2025 15:18,IP Address,23.115.149.77,100,399,TRUE,3/5/2025 15:18,R_5uHPjQT3sE98oCJ,,,,,26.782,-80.0653,anonymous,EN,Other (please specify),Fishery biologist,21+ years,Florida,,Federal agency,,Master's Degree,,Female,45-54,Highly beneficial,Highly beneficial,Highly beneficial,Neutral/Unsure,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Very high,Very high,Somewhat high,Somewhat high,Somewhat high,No,Increase,Unsure,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Certifications in genetics and management,Online courses in genetics and management,Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Research experience in genetics,Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Somewhat familiar,3,2,5,1,4,6,Collection of blood or tissue samples,"It can support population adaptation to change,It reduces the need for human intervention,It decreases the likelihood of animal-human conflicts,It increases the chances of locating animals in the wild"
3/5/2025 16:59,3/5/2025 17:07,IP Address,75.181.228.24,100,501,TRUE,3/5/2025 17:07,R_67N0fpbC20wALip,,,,,36.296,-76.2435,anonymous,EN,Conservation biologist,,21+ years,North Carolina,,State agency,,Master's Degree,,Male,45-54,Highly beneficial,Highly beneficial,Highly beneficial,Somewhat low,Somewhat high,Somewhat low,Somewhat low,Somewhat high,Somewhat low,Very high,Somewhat high,Very high,Somewhat high,Somewhat high,No,Increase,Unsure,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Other (please specify):",Public Communication on Genetics in Wildlife Management,Somewhat familiar,2,1,3,4,6,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples",It can support population adaptation to change
3/6/2025 8:02,3/6/2025 8:08,IP Address,167.192.187.110,100,366,TRUE,3/6/2025 8:08,R_6F8XpMzvq0nDkoV,,,,,33.7485,-84.3871,anonymous,EN,Wildlife manager,,16-20 years,Georgia,,State agency,,Master's Degree,,Male,45-54,Sometimes beneficial,Not beneficial,Sometimes beneficial,Very low,Neutral/Unsure,Neutral/Unsure,Somewhat high,Neutral/Unsure,Somewhat high,Neutral/Unsure,Neutral/Unsure,Somewhat low,Somewhat low,Somewhat high,Yes,Increase,Stay the same,"Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics",,Somewhat familiar,1,6,5,2,3,4,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples",It can support population adaptation to change
3/6/2025 10:05,3/6/2025 10:14,IP Address,129.222.86.203,100,504,TRUE,3/6/2025 10:14,R_5NqN4wQVtmwG6A2,,,,,33.7485,-84.3871,anonymous,EN,Conservation biologist,,16-20 years,Mississippi,,State agency,,Master's Degree,,Male,35-44,Sometimes beneficial,Highly beneficial,Sometimes beneficial,Somewhat low,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Neutral/Unsure,Neutral/Unsure,Neutral/Unsure,Somewhat high,Neutral/Unsure,Somewhat high,Unsure,Increase,Unsure,"Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Research experience in genetics",,Somewhat unfamiliar,3,1,2,4,5,6,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/6/2025 12:13,3/6/2025 12:18,IP Address,205.204.186.60,100,316,TRUE,3/6/2025 12:18,R_6EbsPpVSAK5R1cp,,,,,38.2281,-84.8697,anonymous,EN,Wildlife manager,,6-10 years,Kentucky,,State agency,,Doctorate,,Male,35-44,Highly beneficial,Highly beneficial,Highly beneficial,Very low,Somewhat high,Somewhat low,Somewhat high,Somewhat high,Somewhat low,Somewhat low,Somewhat high,Very high,Very high,Very high,Yes,Increase,Increase,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop)",,Very familiar,2,3,6,1,4,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/6/2025 13:28,3/6/2025 13:47,IP Address,12.208.50.18,100,1126,TRUE,3/6/2025 13:47,R_1LZIwYeHmQL4p3s,,,,,35.0812,-92.4722,anonymous,EN,Wildlife manager,,0-5 years,Arkansas,,State agency,,Master's Degree,,Male,25-34,Highly beneficial,Highly beneficial,Highly beneficial,Very low,Somewhat high,Neutral/Unsure,Somewhat high,Neutral/Unsure,Very low,Somewhat high,Somewhat high,Somewhat high,Somewhat high,Somewhat high,No,Increase,Unsure,"Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking)",,Somewhat familiar,1,5,6,2,4,3,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/6/2025 14:23,3/6/2025 14:27,IP Address,69.60.38.224,100,223,TRUE,3/6/2025 14:27,R_6jTFub4a9cyozEd,,,,,32.3779,-90.1273,anonymous,EN,Wildlife manager,,16-20 years,Mississippi,,State agency,,Master's Degree,,Male,35-44,Sometimes beneficial,Highly beneficial,Sometimes beneficial,Somewhat low,Neutral/Unsure,Somewhat high,Very high,Somewhat low,Somewhat high,Somewhat high,Very high,Somewhat high,Somewhat high,Somewhat high,Unsure,Increase,Stay the same,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Research experience in genetics",,Somewhat familiar,2,3,4,1,6,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples",It can support population adaptation to change
3/10/2025 7:57,3/10/2025 11:22,IP Address,149.168.188.4,100,12324,TRUE,3/10/2025 11:22,R_5QidQXeMXfJsps2,,,,,35.7633,-78.71,anonymous,EN,Research scientist,,11-15 years,North Carolina,,State agency,,Doctorate,,Female,45-54,Highly beneficial,Highly beneficial,Sometimes beneficial,Somewhat high,Somewhat low,Very low,Very low,Somewhat low,Very low,Very high,Somewhat low,Very high,Somewhat high,Very high,No,Increase,Decrease,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Research experience in genetics,Training in genetic data software tools (e.g., R, Python, STRUCTURE, GenePop),Other (please specify):",trained conservation geneticists,Very familiar,2,1,3,4,6,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples",It can support population adaptation to change
3/10/2025 13:37,3/10/2025 13:45,IP Address,172.58.250.198,100,476,TRUE,3/10/2025 13:45,R_5ddjopziCjGb3sJ,,,,,35.2843,-80.76,anonymous,EN,Wildlife manager,,0-5 years,North Carolina,,State agency,,Master's Degree,,Female,25-34,Highly beneficial,Highly beneficial,Highly beneficial,Somewhat high,Somewhat high,Neutral/Unsure,Somewhat low,Somewhat high,Neutral/Unsure,Somewhat high,Somewhat high,Neutral/Unsure,Neutral/Unsure,Neutral/Unsure,No,Stay the same,Increase,"Undergraduate/introuductory courses and training (e.g., Introduction to Genetics, Molecular Biology),Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Certifications in genetics and management,Online courses in genetics and management,Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking),Other (please specify):",How to interpret and use genetic data for wildlife management,Somewhat unfamiliar,2,1,4,3,6,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples","It can support population adaptation to change,It reduces the need for human intervention"
3/11/2025 15:57,3/11/2025 16:18,IP Address,69.60.38.224,100,1238,TRUE,3/11/2025 16:18,R_7F8mxcS8jvwE2Rc,,,,,32.3779,-90.1273,anonymous,EN,Conservation biologist,,6-10 years,Mississippi,,State agency,,Master's Degree,,Male,35-44,Sometimes beneficial,Highly beneficial,Sometimes beneficial,Somewhat low,Somewhat high,Neutral/Unsure,Neutral/Unsure,Somewhat high,Neutral/Unsure,Somewhat low,Somewhat high,Neutral/Unsure,Neutral/Unsure,Somewhat high,Unsure,Increase,Stay the same,"Graduate/advanced courses and training (e.g., Advanced Genetics, Population Genetics),Workshops on genetic data analysis (e.g., Genetic data analysis Workshop, Bioinformatics bootcamp),Workshops on wildlife conservation genetics,Field training in wildlife genetics (e.g., sample collection, and wildlife tracking)",,Somewhat familiar,3,2,6,1,4,5,"Collection of blood or tissue samples,Collection of hair, scat, or saliva samples",It can support population adaptation to change
